"","BLOCK","PLOT","uid","BS_Suitability","WS_Suitability","RS_Suitability","ID","elevation","tri","tpi","roughness","slope","aspect","flowdir","tmin","tmean","tmax","dew","vpdmax","vpdmin","McNab","Bolstad","Profile","Planform","Winds10","Winds50","SWI","RAD","ppt","Parent","Densic","Lithic","Redox","Min_depth","WD2000","WD2020","WHC","ex.mg","ex.ca","ph","dep","ex.k","nit","SWC2","MeanWD","set"
"1","B2",1,"B21",0.00788336526602507,0.0408652275800705,0.311516851186752,1,57.4064979553223,0.65680980682373,0.127190589904785,2.09103393554688,2.19258427619934,189.224487304688,8,0.783300042152405,6.60407257080078,12.4238977432251,1.29802072048187,8.98015785217285,0.587755620479584,-0.353546142578125,0.0312320441007614,0.000226000003749505,0.000125000005937181,2.59222841262817,4.84653902053833,6.33838176727295,186.58332824707,1097.98901367188,909,NA,65.6611099243164,28.4716663360596,53.9850006103516,-162.895355224609,-188.705108642578,193.631607055664,0.188837051391602,1.94653785228729,5.97395372390747,35.741268157959,0.102019548416138,1.03998076915741,244.656326293945,-223.149124145508,"30m"
"2","B2",2,"B22",0.00866881757974625,0.0416876673698425,0.311509490013123,2,58.1139259338379,0.520624160766602,0.0625247955322266,1.53113555908203,1.80415666103363,182.301177978516,4,0.782594799995422,6.60377740859985,12.4240798950195,1.29779505729675,8.98012161254883,0.587475597858429,-0.296344757080078,0.0153525760397315,9.10000017029233e-05,3.99999998990097e-06,2.59263253211975,4.84549713134766,6.4432635307312,186.58332824707,1097.84167480469,909,NA,68.8209838867188,26.7666664123535,68.2262496948242,-162.878494262695,-188.694763183594,194.568756103516,0.24996018409729,1.94723844528198,5.80818462371826,35.7108764648438,0.102031677961349,1.05534160137177,240.178817749023,-223.141357421875,"30m"
"3","B2",3,"B23",0.01126379519701,0.0433092005550861,0.311502009630203,3,58.7342872619629,0.290429592132568,0.18296480178833,0.840988159179688,1.02662742137909,184.668899536133,4,0.781889617443085,6.60348176956177,12.4242630004883,1.29756951332092,8.98008632659912,0.587195575237274,-0.00647354125976562,0.0449270159006119,0.000434999994467944,3.79999983124435e-05,2.59301686286926,4.84444713592529,6.7345757484436,173.25,1097.69421386719,909,NA,60.6509895324707,26.6052837371826,61.2262496948242,-163.022476196289,-188.845901489258,204.497253417969,0.30752021074295,2.03417062759399,5.57445049285889,35.5319061279297,0.103097878396511,1.09964215755463,231.437866210938,-223.294036865234,"30m"
"4","B2",4,"B24",0.0627477020025253,0.0310458578169346,0.311473548412323,4,58.9514427185059,0.166621685028076,0.166264057159424,0.271633148193359,0.0375421829521656,261.723846435547,4,0.780985176563263,6.60323190689087,12.4247179031372,1.29718470573425,8.98023700714111,0.586812853813171,0.135101318359375,0.0408256947994232,0.000213000006624497,0.000241000001551583,2.59657287597656,4.84677791595459,8.69119167327881,132,1097.61730957031,909,NA,54.3554229736328,26.3777503967285,52.828498840332,-163.520751953125,-189.350921630859,210.479583740234,1.99583196640015,2.31139326095581,2.92237114906311,35.6165237426758,0.163494914770126,1.77550089359283,305.271057128906,-223.793502807617,"30m"
"5","B2",5,"B25",0.00989989656955004,0.0423063039779663,0.311465978622437,5,58.7547607421875,0.410882472991943,0.266369342803955,1.25679779052734,1.38671743869781,353.915802001953,64,0.780283033847809,6.60293769836426,12.4249029159546,1.29696297645569,8.98020172119141,0.586531758308411,0.529342651367188,0.0654073059558868,0.00064300000667572,5.60000007681083e-05,2.59489727020264,4.8448281288147,6.58911085128784,97.3333358764648,1097.47009277344,909,NA,55.6575546264648,13,52.7766494750977,-163.932754516602,-189.779037475586,217.265594482422,0.30964270234108,2.56069254875183,5.6330714225769,36.4223175048828,0.102384641766548,1.07785058021545,235.74235534668,-224.20849609375,"30m"
"6","B2",6,"B26",0.00855589564889669,0.041908223181963,0.311496257781982,6,57.4033393859863,0.517036437988281,-0.0140876770019531,1.54284286499023,1.82427501678467,183.543212890625,4,0.783091723918915,6.60411310195923,12.4241619110107,1.29784977436066,8.98034381866455,0.587656199932098,-0.355293273925781,-0.00345957209356129,-1.99999999495049e-06,1.99999999495049e-06,2.60147976875305,4.85257434844971,6.4301609992981,174.25,1098.05883789062,909,NA,63.9448890686035,24.4685497283936,30.1811256408691,-163.050704956055,-188.851135253906,193.555816650391,0.242700934410095,2.02259850502014,5.83021306991577,35.7932395935059,0.101808585226536,1.04872679710388,238.826690673828,-223.302581787109,"30m"
"7","B2",7,"B27",0.00914772413671017,0.0417782701551914,0.311488628387451,7,58.1104545593262,0.49962854385376,0.0316576957702637,1.33442687988281,1.74726176261902,179.756500244141,4,0.782389581203461,6.60381937026978,12.4243478775024,1.29762804508209,8.98030853271484,0.587375104427338,-0.311916351318359,0.00777376256883144,8.90000010258518e-05,0,2.59986400604248,4.85065078735352,6.50378561019897,174.25,1097.91162109375,909,NA,59.5430374145508,26.5769557952881,48.4979667663574,-163.03385925293,-188.840774536133,194.300079345703,0.280462235212326,2.02384686470032,5.72549390792847,35.7756118774414,0.102016478776932,1.06217980384827,239.518051147461,-223.294845581055,"30m"
"8","B2",8,"B28",0.0125583978369832,0.0427275858819485,0.311481088399887,8,58.7332725524902,0.313634395599365,0.153745174407959,0.845897674560547,1.09978652000427,180.132400512695,4,0.781687378883362,6.60352563858032,12.4245328903198,1.29740643501282,8.98027324676514,0.587093949317932,-0.100385665893555,0.0377518050372601,0.000426000013248995,0,2.59822845458984,4.84871864318848,6.85681486129761,169.58332824707,1097.76440429688,909,NA,51.3758239746094,23.2493724822998,22.2280540466309,-163.073776245117,-188.887786865234,200.445861816406,0.261934846639633,2.05565309524536,5.60822629928589,35.5629959106445,0.104065857827663,1.1216014623642,234.408172607422,-223.343505859375,"30m"
"9","B2",9,"B29",0.0627477020025253,0.0310458578169346,0.311473548412323,9,58.9514427185059,0.166621685028076,0.166264057159424,0.271633148193359,0.0375421829521656,261.723846435547,4,0.780985176563263,6.60323190689087,12.4247179031372,1.29718470573425,8.98023700714111,0.586812853813171,0.135101318359375,0.0408256947994232,0.000213000006624497,0.000241000001551583,2.59657287597656,4.84677791595459,8.69119167327881,132,1097.61730957031,909,NA,54.3554229736328,26.3777503967285,52.828498840332,-163.520751953125,-189.350921630859,210.479583740234,1.99583196640015,2.31139326095581,2.92237114906311,35.6165237426758,0.163494914770126,1.77550089359283,305.271057128906,-223.793502807617,"30m"
"10","B2",10,"B210",0.0637578144669533,0.0308490172028542,0.311452567577362,10,58.9528732299805,0.1559157371521,0.155563831329346,0.223121643066406,0.0350176207721233,186.144989013672,4,0.780785977840424,6.6032772064209,12.4249897003174,1.2970255613327,8.98042297363281,0.586710155010223,0.0990562438964844,0.038198608905077,0.000429999985499308,6.00000021222513e-06,2.59978413581848,4.85017585754395,8.71060085296631,134,1097.68774414062,909,NA,60.8403091430664,20.6069450378418,60.2677001953125,-163.504028320312,-189.324844360352,208.947296142578,1.92912411689758,2.29533982276917,2.9665515422821,35.5830421447754,0.164479702711105,1.78583574295044,306.681732177734,-223.774963378906,"30m"
